D,n,N,d,compatibility_total,mean_compatibility,committees,heuristic_name,localsearch,policy,nb_of_iteration,elapsed_time
2,"[5, 2]",40,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1]",15.48,0.74,"{1: 1, 13: 1, 26: 2, 28: 1, 39: 1, 6: 2, 4: 1}",GRASP,True,FirstImprovement,992,30.0
3,"[2, 5, 7]",40,"[3, 3, 3, 2, 3, 2, 2, 1, 1, 2, 1, 1, 3, 3, 1, 3, 3, 3, 1, 2, 3, 1, 1, 1, 3, 1, 3, 2, 3, 3, 2, 3, 2, 1, 3, 3, 3, 2, 2, 2]",58.77,0.65,"{35: 3, 31: 2, 24: 1, 19: 1, 27: 3, 6: 2, 30: 3, 10: 2, 21: 3, 17: 3, 16: 3, 7: 2, 28: 2, 3: 3}",GRASP,True,FirstImprovement,1443,30.01
5,"[4, 8, 2, 1, 4]",40,"[5, 4, 2, 1, 5, 3, 1, 2, 2, 1, 5, 3, 2, 5, 5, 2, 2, 2, 4, 1, 4, 2, 2, 3, 4, 4, 5, 2, 2, 1, 4, 1, 3, 3, 2, 1, 2, 2, 5, 2]",101.65,0.59,"{28: 2, 7: 1, 12: 3, 32: 1, 20: 1, 37: 2, 3: 2, 26: 4, 16: 2, 10: 1, 27: 5, 15: 5, 11: 5, 5: 5, 6: 3, 23: 2, 8: 2, 13: 2, 29: 2}",GRASP,True,FirstImprovement,10594,30.0
3,"[13, 3, 7]",40,"[1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 1, 3, 3, 2, 3, 1, 2, 2, 2, 3, 2, 1, 1, 3, 1, 2, 1, 1, 3, 1, 3, 1, 1, 3, 3]",0.0,0.0,impossible,GRASP,True,FirstImprovement,13517,30.0
2,"[5, 1]",40,"[2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2]",11.29,0.75,"{16: 2, 20: 1, 37: 1, 12: 1, 13: 1, 2: 1}",GRASP,True,FirstImprovement,1375,30.0
6,"[2, 1, 5, 5, 4, 1]",40,"[5, 5, 3, 1, 1, 6, 5, 3, 5, 1, 5, 4, 6, 5, 2, 6, 4, 1, 1, 3, 3, 3, 5, 5, 2, 3, 4, 3, 4, 2, 1, 5, 2, 4, 4, 6, 3, 1, 3, 4]",87.78,0.57,"{36: 6, 21: 3, 17: 4, 4: 1, 19: 1, 9: 5, 35: 4, 7: 5, 25: 2, 40: 4, 8: 3, 27: 4, 20: 3, 12: 4, 23: 5, 28: 3, 3: 3, 24: 5}",GRASP,True,FirstImprovement,7993,30.0
3,"[8, 2, 12]",40,"[2, 3, 2, 1, 2, 2, 2, 1, 1, 1, 3, 3, 1, 3, 3, 1, 1, 3, 2, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 1, 3, 1, 3, 1, 3, 1, 1, 3]",0.0,0.0,impossible,GRASP,True,FirstImprovement,14066,30.0
9,"[1, 2, 5, 5, 1, 3, 2, 3, 1]",50,"[3, 3, 4, 3, 1, 2, 9, 6, 5, 1, 8, 4, 5, 2, 7, 2, 2, 8, 9, 2, 3, 7, 7, 6, 4, 6, 7, 4, 9, 3, 5, 3, 1, 1, 4, 6, 4, 8, 7, 7, 9, 7, 3, 3, 8, 8, 1, 3, 4, 6]",144.26,0.57,"{20: 2, 2: 3, 19: 9, 49: 4, 18: 8, 21: 3, 44: 3, 15: 7, 46: 8, 14: 2, 25: 4, 26: 6, 36: 6, 50: 6, 3: 4, 30: 3, 35: 4, 13: 5, 28: 4, 39: 7, 48: 3, 38: 8, 5: 1}",GRASP,True,FirstImprovement,2642,30.03
3,"[4, 5, 4]",50,"[2, 1, 2, 3, 3, 2, 1, 3, 2, 2, 1, 3, 1, 3, 3, 2, 1, 3, 2, 2, 2, 1, 2, 2, 1, 3, 3, 2, 1, 3, 3, 1, 1, 2, 2, 1, 2, 2, 2, 3, 3, 1, 2, 1, 1, 3, 3, 3, 2, 1]",54.38,0.7,"{37: 2, 21: 2, 46: 3, 10: 2, 30: 3, 8: 3, 18: 3, 16: 2, 2: 1, 25: 1, 32: 1, 20: 2, 33: 1}",GRASP,True,FirstImprovement,319,30.01
7,"[6, 2, 2, 1, 1, 7, 4]",50,"[3, 1, 2, 6, 2, 1, 7, 1, 6, 7, 3, 5, 7, 4, 7, 2, 6, 6, 4, 3, 1, 4, 7, 1, 4, 4, 1, 1, 6, 1, 4, 6, 5, 3, 1, 2, 6, 6, 2, 5, 6, 1, 6, 2, 2, 1, 5, 7, 1, 1]",137.62,0.54,"{17: 6, 6: 1, 42: 1, 40: 5, 4: 6, 25: 4, 2: 1, 38: 6, 29: 6, 16: 2, 41: 6, 45: 2, 32: 6, 11: 3, 30: 1, 24: 1, 7: 7, 1: 3, 9: 6, 27: 1, 15: 7, 23: 7, 10: 7}",GRASP,True,FirstImprovement,9975,30.0
9,"[1, 2, 5, 3, 2, 4, 2, 3, 2]",50,"[9, 5, 6, 9, 2, 9, 6, 4, 4, 2, 8, 3, 5, 9, 6, 1, 8, 4, 1, 5, 2, 3, 8, 7, 7, 6, 8, 9, 7, 3, 1, 5, 1, 6, 9, 4, 3, 6, 2, 3, 9, 9, 2, 8, 4, 2, 8, 6, 5, 7]",0.0,0.0,impossible,GRASP,True,FirstImprovement,11739,30.0
4,"[2, 6, 1, 9]",50,"[2, 2, 2, 1, 2, 3, 4, 3, 2, 2, 4, 3, 1, 2, 4, 4, 1, 4, 3, 4, 1, 2, 3, 1, 1, 2, 4, 3, 4, 4, 2, 2, 4, 1, 1, 3, 4, 4, 4, 1, 3, 2, 3, 4, 2, 1, 4, 2, 4, 4]",91.13,0.6,"{34: 1, 41: 3, 35: 1, 7: 4, 18: 4, 39: 4, 14: 2, 1: 2, 3: 2, 26: 2, 27: 4, 15: 4, 45: 2, 30: 4, 42: 2, 38: 4, 20: 4, 44: 4}",GRASP,True,FirstImprovement,8495,30.0
2,"[3, 4]",10,"[1, 1, 2, 1, 2, 1, 2, 1, 2, 2]",12.53,0.6,"{8: 1, 1: 1, 10: 2, 9: 2, 7: 2, 3: 2, 6: 1}",GRASP,True,FirstImprovement,21180,30.0
